,country,DHSCC,FIC,unadjusted CI,adjusted CI
1,Afghanistan,AF,0.417428169,0.082495418,0.141605573
2,Albania,AL,0.892999092,-0.012668719,-0.118398234
3,Angola,AO,0.286405899,0.311434542,0.436430937
4,Armenia,AM,0.85418484,-0.019088549,-0.130909219
5,Bangladesh,BD,0.892212613,0.012804519,0.118794219
6,Benin,BJ,0.550796687,0.084498449,0.188107358
7,Burundi,BU,0.843923855,-0.000468112,-0.002999253
8,Cambodia,KH,0.790553065,0.067377709,0.321693461
9,Cameroon,CM,0.520808839,0.129554033,0.270359813
10,Chad,TD,0.256860366,0.074141671,0.099768156
11,Egypt,EG,0.394188808,0.043957872,0.07256035
12,Ethiopia,ET,0.414275151,0.156006158,0.266347173
13,Ghana,GH,0.751901954,-0.002879156,-0.011604911
14,Guatemala,GU,0.752708395,0.019186731,0.077587474
15,Guinea,GN,0.240251172,0.161773465,0.212930194
16,Haiti,HT,0.404420095,0.153532751,0.25778699
17,India,IA,0.61438515,0.060210179,0.156140716
18,Indonesia,ID,0.67296667,0.037481748,0.1146114
19,Jordan,JO,0.776533341,0.004785859,0.021416434
20,Kenya,KE,0.71512697,0.03852561,0.135237829
21,Lesotho,LS,0.686347893,0.031616741,0.100801941
22,Liberia,LB,0.479313474,0.054768562,0.105185288
23,Malawi,MW,0.734434766,0.016772895,0.063159229
24,Maldives,MV,0.772843819,0.018803707,0.082778762
25,Mali,ML,0.407239737,0.038962237,0.065730177
26,Myanmar,MM,0.590695319,0.125852199,0.307478035
27,Nepal,NP,0.786208347,0.007408462,0.03465272
28,Nigeria,NG,0.29659203,0.281498574,0.400192471
29,Pakistan,PK,0.658841877,0.128360748,0.376250012
30,Philippines,PH,0.676680103,0.06340071,0.19609282
31,Rwanda,RW,0.420736867,0.039960461,0.06898499
32,Sierra Leone,SL,0.534273843,-0.013370454,-0.028708833
33,South Africa,ZA,0.586802563,-0.008804963,-0.021309337
34,Tajikistan,TJ,0.793753519,NA,NA
35,Tanzania,TZ,0.741503449,0.050157787,0.194036583
36,The Gambia,GM,0.831668431,-0.009085989,-0.053976737
37,Timor-Leste,TL,0.458880228,0.095506471,0.176497839
38,Uganda,UG,0.540258727,-0.00607631,-0.013216803
39,Zambia,ZM,0.738144065,0.024805002,0.094727668
40,Zimbabwe,ZW,0.758044349,0.027042682,0.111767101
