,DHSCC,country,region,vaccination rate,unadjusted CI,adjusted CI
1,AF,Afghanistan,Nimroz,0.56,0.08,0.19
2,AF,Afghanistan,Kandahar,0.15,0.45,0.53
3,AF,Afghanistan,Zabul,0.18,0.13,0.15
4,AF,Afghanistan,Urozgan,0.02,0.23,0.24
5,AF,Afghanistan,Paktika,0.62,0.01,0.02
6,AF,Afghanistan,Farah,0.25,0.37,0.49
7,AF,Afghanistan,Helmand,0.17,0.00,0.00
8,AF,Afghanistan,Khost,0.29,0.04,0.05
9,AF,Afghanistan,Paktya,0.22,0.09,0.11
10,AF,Afghanistan,Ghazni,0.33,-0.10,-0.14
11,AF,Afghanistan,Daykundi,0.33,-0.06,-0.08
12,AF,Afghanistan,Logar,0.39,0.08,0.13
13,AF,Afghanistan,Wardak,0.65,0.16,0.45
14,AF,Afghanistan,Nangarhar,0.63,0.09,0.24
15,AF,Afghanistan,Kabul,0.52,0.04,0.08
16,AF,Afghanistan,Kapisa,0.61,0.06,0.16
17,AF,Afghanistan,Laghman,0.62,0.03,0.08
18,AF,Afghanistan,Ghor,0.26,0.08,0.11
19,AF,Afghanistan,Parwan,0.62,0.03,0.08
20,AF,Afghanistan,Bamyan,0.65,0.03,0.10
21,AF,Afghanistan,Kunarha,0.34,0.04,0.07
22,AF,Afghanistan,Herat,0.51,0.15,0.30
23,AF,Afghanistan,Panjsher,0.50,0.09,0.18
24,AF,Afghanistan,Badghis,0.56,0.04,0.09
25,AF,Afghanistan,Nooristan,0.00,0.23,0.24
26,AF,Afghanistan,Sar-E-Pul,0.36,0.13,0.20
27,AF,Afghanistan,Baghlan,0.39,0.11,0.17
28,AF,Afghanistan,Samangan,0.20,0.22,0.28
29,AF,Afghanistan,Faryab,0.59,0.06,0.15
30,AF,Afghanistan,Kunduz,0.36,0.08,0.13
31,AF,Afghanistan,Balkh,0.34,0.26,0.39
32,AF,Afghanistan,Jawzjan,0.32,0.08,0.12
33,AF,Afghanistan,Takhar,0.50,-0.07,-0.14
34,AF,Afghanistan,Badakhshan,0.66,-0.02,-0.05
35,AL,Albania,Berat,0.94,0.02,0.30
36,AL,Albania,Dibër,0.85,-0.03,-0.20
37,AL,Albania,Durrës,0.91,0.04,0.41
38,AL,Albania,Elbasan,0.83,-0.02,-0.13
39,AL,Albania,Fier,0.92,0.03,0.44
40,AL,Albania,Gjirokastër,0.90,0.05,0.48
41,AL,Albania,Korçë,1.00,0.00,0.00
42,AL,Albania,Kukes,0.90,-0.02,-0.18
43,AL,Albania,Lezhë,0.85,-0.05,-0.35
44,AL,Albania,Shkodër,0.98,NA,NA
45,AL,Albania,Tirana,0.84,-0.07,-0.43
46,AL,Albania,Vlorë,0.92,-0.03,-0.41
47,AO,Angola,Bié,0.11,0.49,0.55
48,AO,Angola,Cunene,0.40,-0.01,-0.02
49,AO,Angola,Huambo,0.27,0.19,0.26
50,AO,Angola,Huíla,0.21,0.41,0.52
51,AO,Angola,Cuando Cubango,0.05,0.40,0.42
52,AO,Angola,Cuanza Norte,0.23,0.16,0.20
53,AO,Angola,Cuanza Sul,0.20,0.26,0.32
54,AO,Angola,Luanda,0.44,0.18,0.31
55,AO,Angola,Lunda Norte,0.20,0.31,0.39
56,AO,Angola,Lunda Sul,0.20,0.23,0.29
57,AO,Angola,Moxico,0.08,0.41,0.45
58,AO,Angola,Namibe,0.26,0.24,0.33
59,AO,Angola,Uíge,0.14,0.32,0.37
60,AO,Angola,Zaire,0.38,0.03,0.04
61,AO,Angola,Bengo,0.19,0.28,0.34
62,AO,Angola,Malanje,0.33,0.19,0.28
63,AO,Angola,Cabinda,0.32,0.23,0.33
64,AO,Angola,Benguela,0.27,0.34,0.46
65,AM,Armenia,Aragatsotn,0.77,NA,NA
66,AM,Armenia,Yerevan,0.82,-0.05,-0.26
67,AM,Armenia,Ararat,0.88,-0.04,-0.36
68,AM,Armenia,Armavir,0.92,0.01,0.18
69,AM,Armenia,Gegharkunik,0.63,-0.02,-0.05
70,AM,Armenia,Lori,0.79,0.10,0.48
71,AM,Armenia,Kotayk,0.90,0.02,0.17
72,AM,Armenia,Shirak,0.94,0.00,-0.04
73,AM,Armenia,Syunik,0.76,-0.05,-0.20
74,AM,Armenia,Vayots Dzor,0.91,-0.03,-0.39
75,AM,Armenia,Tavush,0.86,0.01,0.06
76,BD,Bangladesh,Barisal,0.87,0.02,0.18
77,BD,Bangladesh,Chittagong,0.89,0.02,0.15
78,BD,Bangladesh,Khulna,0.92,0.02,0.24
79,BD,Bangladesh,Rajshahi,0.92,0.02,0.23
80,BD,Bangladesh,Rangpur,0.92,0.02,0.19
81,BD,Bangladesh,Sylhet,0.85,0.02,0.12
82,BD,Bangladesh,Mymensingh,0.86,0.00,-0.02
83,BD,Bangladesh,Dhaka,0.89,0.01,0.12
84,BJ,Benin,Alibori,0.43,0.14,0.24
85,BJ,Benin,Atacora,0.67,0.04,0.12
86,BJ,Benin,Atlantic,0.59,0.03,0.06
87,BJ,Benin,Borgou,0.39,0.22,0.36
88,BJ,Benin,Collines,0.66,0.05,0.15
89,BJ,Benin,Couffo,0.36,0.09,0.14
90,BJ,Benin,Donga,0.58,0.13,0.31
91,BJ,Benin,Littoral,0.65,0.05,0.13
92,BJ,Benin,Mono,0.70,0.00,0.00
93,BJ,Benin,Oueme,0.69,0.01,0.03
94,BJ,Benin,Plateau,0.36,-0.02,-0.03
95,BJ,Benin,Zou,0.68,-0.01,-0.03
96,BU,Burundi,Bubanza,0.79,-0.03,-0.13
97,BU,Burundi,Bujumbura Rural,0.84,0.03,0.20
98,BU,Burundi,Bujumbura Mairie,0.74,0.04,0.16
99,BU,Burundi,Bururi,0.87,0.01,0.08
100,BU,Burundi,Cankuzo,0.87,0.03,0.23
101,BU,Burundi,Cibitoke,0.65,0.00,-0.01
102,BU,Burundi,Gitega,0.88,0.02,0.17
103,BU,Burundi,Karusi,0.90,0.01,0.09
104,BU,Burundi,Kayanza,0.88,-0.03,-0.23
105,BU,Burundi,Kirundo,0.85,0.04,0.30
106,BU,Burundi,Makamba,0.93,0.02,0.23
107,BU,Burundi,Muramvya,0.89,-0.01,-0.05
108,BU,Burundi,Muyinga,0.91,0.00,-0.01
109,BU,Burundi,Mwaro,0.84,-0.03,-0.20
110,BU,Burundi,Ngozi,0.81,0.00,0.02
111,BU,Burundi,Rumonge,0.83,0.01,0.08
112,BU,Burundi,Rutana,0.91,0.00,0.01
113,BU,Burundi,Ruyigi,0.82,0.02,0.12
114,KH,Cambodia,Banteay Meanchey,0.92,0.01,0.17
115,KH,Cambodia,Battambang/Pailin,0.89,0.05,0.43
116,KH,Cambodia,Kampong Cham,0.68,0.08,0.24
117,KH,Cambodia,Kampong Chhnang,0.80,0.03,0.15
118,KH,Cambodia,Kampong Speu,0.76,0.08,0.33
119,KH,Cambodia,Kampong Thom,0.83,0.03,0.20
120,KH,Cambodia,Kampot/Kep,0.72,0.11,0.40
121,KH,Cambodia,Kandal,0.77,0.12,0.52
122,KH,Cambodia,Kratie,0.73,0.08,0.30
123,KH,Cambodia,Mondul Kiri/Ratanak Kiri,0.54,0.22,0.48
124,KH,Cambodia,Otdar Meanchey,0.79,0.01,0.06
125,KH,Cambodia,Phnom Penh,0.92,0.04,0.46
126,KH,Cambodia,Preah Sihanouk/Koh Kong,0.86,0.01,0.08
127,KH,Cambodia,Preah Vihear/Stung Treng,0.68,0.08,0.25
128,KH,Cambodia,Prey Veng,0.71,0.07,0.23
129,KH,Cambodia,Pursat,0.84,0.06,0.38
130,KH,Cambodia,Siem Reap,0.81,-0.01,-0.04
131,KH,Cambodia,Svay Rieng,0.81,0.01,0.04
132,KH,Cambodia,Takeo,0.88,0.01,0.05
133,CM,Cameroon,Adamawa,0.33,0.07,0.10
134,CM,Cameroon,Centre,0.63,0.02,0.05
135,CM,Cameroon,Douala,0.65,0.06,0.16
136,CM,Cameroon,East,0.57,0.14,0.34
137,CM,Cameroon,Far North,0.42,0.13,0.22
138,CM,Cameroon,Littoral,0.55,0.06,0.13
139,CM,Cameroon,North,0.34,0.06,0.09
140,CM,Cameroon,Northwest,0.65,0.09,0.26
141,CM,Cameroon,South,0.64,0.08,0.21
142,CM,Cameroon,Southwest,0.70,0.00,-0.01
143,CM,Cameroon,West,0.58,0.10,0.24
144,CM,Cameroon,Yaounde,0.58,0.07,0.16
145,TD,Chad,Batha,0.04,0.65,0.67
146,TD,Chad,Borkou/Tibesti,0.13,-0.03,-0.03
147,TD,Chad,Chari Baguirmi,0.04,0.13,0.14
148,TD,Chad,Guéra,0.19,0.29,0.35
149,TD,Chad,Hadjer-Lamis,0.23,0.16,0.20
150,TD,Chad,Kanem,0.13,0.00,0.00
151,TD,Chad,Lac,0.14,0.16,0.19
152,TD,Chad,Logone Occidental,0.28,0.09,0.12
153,TD,Chad,Logone Oriental,0.31,0.09,0.12
154,TD,Chad,Mandoul,0.54,0.02,0.05
155,TD,Chad,Mayo Kebbi Est,0.32,0.14,0.20
156,TD,Chad,Mayo Kebbi Ouest,0.54,0.02,0.03
157,TD,Chad,Moyen Chari,0.32,0.08,0.11
158,TD,Chad,Ouaddaï,0.06,0.30,0.32
159,TD,Chad,Salamat,0.12,0.12,0.14
160,TD,Chad,Tandjilé,0.33,-0.08,-0.12
161,TD,Chad,Wadi Fira,0.06,0.15,0.16
162,TD,Chad,N'djaména,0.31,0.07,0.09
163,TD,Chad,Barh El Gazal,0.14,0.42,0.48
164,TD,Chad,Ennedi Est/Ennedi Ouest,0.11,-0.15,-0.17
165,TD,Chad,Sila,0.11,0.25,0.28
166,EG,Egypt,Alexandria,0.38,-0.05,-0.07
167,EG,Egypt,Assuit,0.33,0.01,0.01
168,EG,Egypt,Aswan,0.63,0.03,0.08
169,EG,Egypt,Behera,0.43,0.04,0.08
170,EG,Egypt,Beni Suef,0.35,0.04,0.06
171,EG,Egypt,Cairo,0.49,-0.02,-0.04
172,EG,Egypt,Dakahlia,0.36,0.07,0.12
173,EG,Egypt,Damietta,0.47,0.00,0.01
174,EG,Egypt,Fayoum,0.26,0.08,0.11
175,EG,Egypt,Gharbia,0.45,0.00,0.01
176,EG,Egypt,Giza,0.51,-0.01,-0.03
177,EG,Egypt,Ismailia,0.39,0.16,0.26
178,EG,Egypt,Kafr El-Sheikh,0.48,-0.01,-0.01
179,EG,Egypt,Kalyubia,0.36,-0.09,-0.14
180,EG,Egypt,Luxor,0.54,-0.07,-0.15
181,EG,Egypt,Matroh,0.58,0.05,0.12
182,EG,Egypt,Menya,0.37,-0.01,-0.02
183,EG,Egypt,Menoufia,0.39,0.09,0.15
184,EG,Egypt,New Valley,0.49,-0.02,-0.04
185,EG,Egypt,North Sinai (Excluded),NA,NA,NA
186,EG,Egypt,Port Said,0.41,-0.11,-0.18
187,EG,Egypt,Qena,0.30,0.07,0.09
188,EG,Egypt,Red Sea,0.37,0.11,0.18
189,EG,Egypt,Sharkia,0.26,0.04,0.05
190,EG,Egypt,South Sinai (Excluded),NA,NA,NA
191,EG,Egypt,Suez,0.46,-0.02,-0.03
192,EG,Egypt,Souhag,0.38,0.08,0.13
193,ET,Ethiopia,Tigray,0.72,0.07,0.26
194,ET,Ethiopia,Afar,0.14,0.31,0.36
195,ET,Ethiopia,Amhara,0.61,0.18,0.45
196,ET,Ethiopia,Oromia,0.32,0.11,0.16
197,ET,Ethiopia,Somali,0.14,0.22,0.25
198,ET,Ethiopia,Benishangul-Gumuz,0.61,0.11,0.27
199,ET,Ethiopia,Snnpr,0.33,0.12,0.18
200,ET,Ethiopia,Gambela,0.46,0.29,0.53
201,ET,Ethiopia,Harari,0.35,0.38,0.59
202,ET,Ethiopia,Addis Ababa,0.84,0.00,-0.01
203,ET,Ethiopia,Dire Dawa,0.57,0.03,0.08
204,GM,The Gambia,Banjul,0.78,0.03,0.15
205,GM,The Gambia,Basse,0.85,0.00,-0.02
206,GM,The Gambia,Brikama,0.82,0.01,0.03
207,GM,The Gambia,Janjanbureh,0.82,0.00,0.03
208,GM,The Gambia,Kanifing,0.77,0.05,0.22
209,GM,The Gambia,Kerewan,0.91,-0.02,-0.25
210,GM,The Gambia,Kuntaur,0.84,0.01,0.04
211,GM,The Gambia,Mansakonko,0.91,-0.01,-0.12
212,GH,Ghana,Upper East,0.83,-0.03,-0.21
213,GH,Ghana,Western,0.69,-0.07,-0.23
214,GH,Ghana,Upper West,0.90,-0.02,-0.16
215,GH,Ghana,Northern,0.67,0.06,0.19
216,GH,Ghana,Brong Ahafo,0.82,-0.01,-0.05
217,GH,Ghana,Volta,0.79,-0.03,-0.16
218,GH,Ghana,Central,0.66,-0.01,-0.03
219,GH,Ghana,Greater Accra,0.78,0.01,0.07
220,GH,Ghana,Ashanti,0.78,-0.04,-0.18
221,GH,Ghana,Eastern,0.76,0.04,0.16
222,GU,Guatemala,Alta Verapaz,0.68,0.05,0.17
223,GU,Guatemala,Baja Verapaz,0.83,0.03,0.15
224,GU,Guatemala,Chimaltenango,0.79,-0.02,-0.10
225,GU,Guatemala,Chiquimula,0.79,-0.04,-0.18
226,GU,Guatemala,El Progreso,0.87,0.03,0.20
227,GU,Guatemala,Escuintla,0.77,-0.01,-0.02
228,GU,Guatemala,Guatemala,0.79,0.01,0.05
229,GU,Guatemala,Huehuetenango,0.67,0.03,0.11
230,GU,Guatemala,Izabal,0.64,0.10,0.28
231,GU,Guatemala,Jalapa,0.78,0.00,0.00
232,GU,Guatemala,Jutiapa,0.80,0.05,0.23
233,GU,Guatemala,Quetzaltenango,0.70,-0.03,-0.11
234,GU,Guatemala,Petén,0.89,0.00,0.02
235,GU,Guatemala,Retalhuleu,0.74,-0.03,-0.10
236,GU,Guatemala,Sacatepéquez,0.82,0.02,0.10
237,GU,Guatemala,San Marcos,0.66,0.05,0.14
238,GU,Guatemala,Santa Rosa,0.79,0.02,0.08
239,GU,Guatemala,Sololá,0.67,0.04,0.13
240,GU,Guatemala,Suchitepéquez,0.71,-0.01,-0.03
241,GU,Guatemala,Totonicapán,0.78,0.00,0.01
242,GU,Guatemala,Zacapa,0.82,0.04,0.22
243,GU,Guatemala,Quiché,0.81,-0.01,-0.06
244,GN,Guinea,Boké,0.16,0.43,0.51
245,GN,Guinea,Conakry,0.31,0.12,0.18
246,GN,Guinea,Faranah,0.22,0.09,0.11
247,GN,Guinea,Kankan,0.40,-0.02,-0.03
248,GN,Guinea,Kindia,0.13,0.32,0.36
249,GN,Guinea,Labé,0.08,0.34,0.37
250,GN,Guinea,Mamou,0.12,0.46,0.52
251,GN,Guinea,N'zérékoré,0.33,0.15,0.22
252,HT,Haiti,Southeast,0.30,0.27,0.39
253,HT,Haiti,North,0.58,0.12,0.28
254,HT,Haiti,Northeast,0.54,-0.04,-0.10
255,HT,Haiti,Artibonite,0.31,0.25,0.37
256,HT,Haiti,Central,0.42,0.09,0.15
257,HT,Haiti,South,0.45,0.27,0.50
258,HT,Haiti,Grande-Anse,0.39,0.07,0.11
259,HT,Haiti,Northwest,0.42,0.06,0.11
260,HT,Haiti,Nippes,0.51,0.12,0.24
261,HT,Haiti,West,0.30,0.20,0.28
262,HT,Haiti,Metropolitan Area,0.43,0.20,0.35
263,IA,India,Telangana-Adilabad,0.67,0.08,0.23
264,IA,India,Uttar Pradesh-Agra,0.58,0.05,0.11
265,IA,India,Gujarat-Ahmadabad,0.47,0.09,0.18
266,IA,India,Maharashtra-Ahmadnagar,0.44,0.09,0.17
267,IA,India,Mizoram-Aizawl,0.66,0.00,0.00
268,IA,India,Rajasthan-Ajmer,0.66,0.08,0.22
269,IA,India,Maharashtra-Akola,0.52,-0.12,-0.24
270,IA,India,Kerala-Alappuzha,0.85,-0.01,-0.06
271,IA,India,Uttar Pradesh-Aligarh,0.61,0.10,0.27
272,IA,India,Madhya Pradesh-Alirajpur,0.24,0.10,0.13
273,IA,India,Uttar Pradesh-Allahabad,0.39,0.13,0.21
274,IA,India,Uttarakhand-Almora,0.70,0.06,0.21
275,IA,India,Rajasthan-Alwar,0.50,0.17,0.34
276,IA,India,Haryana-Ambala,0.97,-0.01,-0.25
277,IA,India,Uttar Pradesh-Ambedkar Nagar,0.59,0.00,0.00
278,IA,India,Maharashtra-Amravati,0.60,0.07,0.18
279,IA,India,Gujarat-Amreli,0.61,0.03,0.07
280,IA,India,Punjab-Amritsar,0.92,0.02,0.21
281,IA,India,Gujarat-Anand,0.57,0.05,0.11
282,IA,India,Andhra Pradesh-Anantapur,0.73,0.04,0.15
283,IA,India,Jammu & Kashmir-Anantnag,0.74,0.05,0.20
284,IA,India,Arunachal Pradesh-Anjaw,0.33,-0.03,-0.05
285,IA,India,Odisha-Anugul,0.88,0.01,0.12
286,IA,India,Madhya Pradesh-Anuppur,0.58,0.12,0.29
287,IA,India,Bihar-Araria,0.51,0.04,0.08
288,IA,India,Tamil Nadu-Ariyalur,0.61,0.06,0.15
289,IA,India,Bihar-Arwal,0.73,0.00,-0.01
290,IA,India,Madhya Pradesh-Ashoknagar,0.43,0.01,0.01
291,IA,India,Uttar Pradesh-Auraiya,0.33,-0.03,-0.04
292,IA,India,Bihar-Aurangabad,0.77,0.03,0.14
293,IA,India,Maharashtra-Aurangabad,0.55,0.01,0.02
294,IA,India,Uttar Pradesh-Azamgarh,0.37,0.06,0.09
295,IA,India,Jammu & Kashmir-Badgam,0.84,0.02,0.14
296,IA,India,Karnataka-Bagalkot,0.71,0.01,0.02
297,IA,India,Uttarakhand-Bageshwar,0.62,0.07,0.19
298,IA,India,Uttar Pradesh-Baghpat,0.68,0.05,0.16
299,IA,India,Uttar Pradesh-Bahraich,0.10,-0.06,-0.06
300,IA,India,Assam-Baksa,0.60,0.05,0.13
